,name,place_id,types,lat,lng,rating,user_ratings_total
550,東山岩坑碧蓮寺,ChIJ0Ri0IZ6LbjQRHDIAi19wJoI,"['place_of_worship', 'tourist_attraction', 'point_of_interest', 'establishment']",23.2475353,120.4814209,4.2,82.0
551,鳥宮花園,ChIJNbcx7U6LbjQR6qK4-ITVZHU,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",23.2419219,120.5206817,3.6,41.0
552,崁頭山,ChIJf_RR6piMbjQRtJvQ9YyO_lc,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",23.2656311,120.5042167,4.2,266.0
553,曾文水庫,ChIJj8pfUqj0bjQRdazVS5q8g1k,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2505505,120.5367136,4.2,1576.0
554,仙公廟孚佑宮,ChIJBYySAmiNbjQRNrSDUpjoGZk,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",23.2677308,120.5011904,4.4,652.0
555,神秘氣場,ChIJ41RuEFv1bjQR658ATJ4Ve-w,"['tourist_attraction', 'point_of_interest', 'establishment']",23.1744275,120.5430764,3.7,88.0
556,台灣烏腳病醫療紀念館,ChIJaQvI3sQqbDQRPaLbFKCU_ZA,"['tourist_attraction', 'museum', 'point_of_interest', 'establishment']",23.2695984,120.123714,4.5,545.0
557,北門洗鹽場,ChIJQTTI09oqbDQR6r-ltwIKvjs,"['tourist_attraction', 'point_of_interest', 'establishment']",23.267596,120.123954,3.7,45.0
558,學甲濕地生態園區,ChIJ0fL9zieAbjQRAXr6Vy-OZ-g,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2779382,120.161278,3.9,57.0
559,九人座包車自由行,ChIJDXyr6z9_bjQR4HU0KvtjFJE,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2269752,120.1842988,5.0,1.0
560,六甲鎮南宮,ChIJ7-_FKkCIbjQR11a2wB5C2LQ,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",23.2208652,120.3660019,4.3,71.0
561,東香貓咖啡園區,ChIJu8Bdi4iLbjQRiKIscI091kg,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2694874,120.4688403,4.2,175.0
562,獅額山,ChIJHxkuC6iMbjQRgplnaEZcXDQ,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2582867,120.516618,4.5,23.0
563,南鯤鯓代天府,ChIJkxNdo40qbDQRefOk_8E5FU8,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",23.2860869,120.14313500000002,4.6,6038.0
564,頑皮世界野生動物園,ChIJvQu4RIF-bjQRs1riJ-L3YrE,"['zoo', 'tourist_attraction', 'park', 'point_of_interest', 'establishment']",23.2809977,120.2094872,4.3,8284.0
565,東山服務區,ChIJDwUJ00gEbjQRSZ2uOjsLc2A,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2866172,120.3983135,4.2,34747.0
566,台南東山水雲慈照宮,ChIJlTgddkmJbjQRd8FPg2mH014,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",23.272216,120.415603,4.6,81.0
567,鬼仔洞,ChIJtUWWIEuJbjQRttGi6k8ucrQ,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2739927,120.4117621,3.5,35.0
568,東山牛肉崎警察官吏派出所,ChIJfUveI7WObjQRMzInLY8JIo0,"['tourist_attraction', 'point_of_interest', 'establishment']",23.27971299999999,120.4152253,4.2,13.0
569,林安森林公園觀光步道,ChIJbx4Hc6aObjQRdcoxO2i1sVM,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",23.2875777,120.4305125,3.8,55.0
570,山河巖,ChIJpyg3o2-MbjQR04aE_YIhqTY,"['place_of_worship', 'tourist_attraction', 'point_of_interest', 'establishment']",23.2730278,120.5134542,4.6,8.0
571,北門鹽田體驗區,ChIJhf3rbdoqbDQRN01uZJAsCNw,"['tourist_attraction', 'point_of_interest', 'establishment']",23.266699600000006,120.1202472,3.9,59.0
572,大鯤園,ChIJuaRRwI4qbDQRvakbKqYDuZQ,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2869935,120.1430599,4.1,241.0
573,星座公園,ChIJs8DKRzt-bjQRuUZ4SneGoxU,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",23.2224589,120.2211561,4.0,22.0
574,下營大屯保安彩繪社區,ChIJ9QDffLKBbjQRAcJHvkAuhYU,"['tourist_attraction', 'point_of_interest', 'establishment']",23.23628,120.23826,4.6,21.0
575,天池,ChIJuRU4e8iMbjQRK-1KgCaJZgc,"['tourist_attraction', 'point_of_interest', 'establishment']",23.280562,120.517065,3.7,61.0
576,李子園,ChIJZwhsjcOMbjQRR8Bito6jsR4,"['tourist_attraction', 'point_of_interest', 'establishment']",23.286623,120.509988,4.1,22.0
577,北門運動公園,ChIJVy6w3tsqbDQRPfV_YxYxT50,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",23.269695,120.119226,3.8,44.0
578,井仔腳自行車道,ChIJaSziLcUqbDQRTvcDFfbaytY,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2674574,120.1233453,4.3,24.0
579,Vanaheim 愛莊園,ChIJHVLld1QqbDQRhx1W1jl4eXU,"['tourist_attraction', 'rv_park', 'lodging', 'point_of_interest', 'establishment']",23.305516600000004,120.1126359,3.9,1113.0
580,學甲綠色隧道,ChIJJ1GeT4CAbjQR6JPtz9dymaQ,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2387152,120.2073507,4.2,199.0
581,學甲花,ChIJJeDSwzR-bjQRWIMwy6510sU,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2192506,120.206366,3.8,8.0
582,老塘湖藝術村,ChIJJeDSwzR-bjQRE-U5H4g9rXI,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2192506,120.206366,4.0,4825.0
583,新營文化中心,ChIJwdHxkdyFbjQRcPGDLi7W_Tc,"['tourist_attraction', 'point_of_interest', 'establishment']",23.3086419,120.31595,4.3,2044.0
584,崁頂福安宮,ChIJgVZFzuCMbjQR948YVD8636w,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",23.29734,120.5028745,4.6,1761.0
585,175咖啡公路,ChIJzWur2n6LbjQRlmpoFZDZl0M,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2995352,120.501057,3.8,53.0
586,錢來也雜貨店,ChIJobhfyNIrbDQRDZlKNhKOjS4,"['tourist_attraction', 'grocery_or_supermarket', 'food', 'point_of_interest', 'store', 'establishment']",23.268042,120.123993,4.4,25.0
587,北門洗滌鹽觀光工場,ChIJA1lKVeUqbDQRLY6BqcB1CjM,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2671376,120.12444,4.2,45.0
588,丙叔微笑果園-台南果園/蕃茄果園/蕃茄伴手禮/水果宅配團購/水果伴手禮/鹽水蕃茄宅配團購,ChIJAbKIENeBbjQRfO4DY7GAPYs,"['tourist_attraction', 'lodging', 'point_of_interest', 'establishment']",23.2653899,120.2124107,4.0,1.0
589,鹽水大豐南天宮,ChIJLW7bNO-AbjQRPM1IeoBU3Lc,"['place_of_worship', 'tourist_attraction', 'point_of_interest', 'establishment']",23.2647517,120.22222659999998,4.6,50.0
590,下營公園,ChIJp8vUDE-HbjQRbv4d1VOgmjM,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",23.239356,120.26136809999998,4.4,22.0
591,橋南老街,ChIJ471m8BuEbjQRaIfrWGWR6VU,"['tourist_attraction', 'point_of_interest', 'establishment']",23.3159056,120.2679083,4.0,1672.0
592,月津港親水公園,ChIJeR1jexmEbjQR9lWCLks8pbU,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",23.3181578,120.2683851,4.2,8702.0
593,鹽水天主堂,ChIJR8hsABuEbjQRZfWL66DPLBk,"['tourist_attraction', 'church', 'place_of_worship', 'point_of_interest', 'establishment']",23.3188817,120.2660861,4.4,339.0
594,新營美術園區,ChIJO96rzNCFbjQRBtB16clMnHY,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",23.3067417,120.30794,4.1,843.0
595,新營糖廠,ChIJswILfd-FbjQRiHZ_Q7rtdIo,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2995859,120.3170623,3.8,657.0
596,洗布埤,ChIJW9UyFXuIbjQREtUqkYAIQeo,"['tourist_attraction', 'natural_feature', 'point_of_interest', 'establishment']",23.2421409,120.3535179,3.8,40.0
597,東和蜂文化觀光工廠,ChIJ-RC3D_SObjQRbRhWsyxQmGM,"['tourist_attraction', 'food', 'point_of_interest', 'establishment']",23.317629,120.4078385,4.0,188.0
598,六重溪平埔文化園區,ChIJMyvDvbSNbjQRDd8NlD4-4Nk,"['tourist_attraction', 'point_of_interest', 'establishment']",23.31288349999999,120.4626355,4.3,61.0
599,香路古道,ChIJc0pYnrONbjQR5XbVysoo3nE,"['tourist_attraction', 'park', 'point_of_interest', 'establishment']",23.3135471,120.4657752,4.0,56.0
600,鼎農村試驗教育基地,ChIJ0y62j-R_bjQRMTNplAu0vNk,"['tourist_attraction', 'lodging', 'point_of_interest', 'establishment']",23.2379825,120.1727331,4.2,93.0
601,姑爺代天府,ChIJeeIAICiHbjQR7ah4w0CClug,"['place_of_worship', 'tourist_attraction', 'point_of_interest', 'establishment']",23.26784229999999,120.26039109999998,4.6,20.0
602,鹽水大眾廟,ChIJUfuGuxqEbjQRr75909VeTy4,"['place_of_worship', 'tourist_attraction', 'point_of_interest', 'establishment']",23.3206287,120.2638487,4.5,62.0
603,鹽水八角樓,ChIJY6T3EhqEbjQRUhqcHmiAu2M,"['tourist_attraction', 'point_of_interest', 'establishment']",23.3199845,120.2673001,4.2,1938.0
604,鹽水文物陳列室,ChIJ-_B_VBCEbjQRuHRXWWSJiR4,"['museum', 'tourist_attraction', 'point_of_interest', 'establishment']",23.324067000000007,120.2654139,4.4,14.0
605,東山碧軒寺,ChIJxZ0FXFiObjQRQEUGaVOxq_c,"['place_of_worship', 'tourist_attraction', 'point_of_interest', 'establishment']",23.325515600000006,120.403728,4.6,159.0
606,大港仔 觀光果園,ChIJY3jGbraIbjQRNNQgLEC8iyk,"['tourist_attraction', 'point_of_interest', 'establishment']",23.2830589,120.3646962,4.5,2.0
607,東山伯朗大道,ChIJizrQWCSPbjQRKjI2MZn4y04,"['tourist_attraction', 'point_of_interest', 'establishment']",23.3002512,120.3811584,4.0,25.0
608,東山運動公園,ChIJXVVE1vCObjQRpXX0wn5sGsY,"['park', 'tourist_attraction', 'point_of_interest', 'establishment']",23.318494,120.403831,4.0,162.0
609,台灣白河萬里長城 (地址於白河區檨仔坑21-1號),ChIJ202EW-iNbjQRzkKeQ_8LQ4w,"['tourist_attraction', 'point_of_interest', 'store', 'establishment']",23.319571,120.4468999,4.4,8019.0
610,台灣古鎮文化之都,ChIJzfvEe0-NbjQRjFw6uiKd8HA,"['tourist_attraction', 'point_of_interest', 'establishment']",23.3195602,120.4469607,0.0,0.0
611,火山碧雲寺,ChIJlbR5kaCNbjQRfGVBLOOd9oQ,"['tourist_attraction', 'place_of_worship', 'point_of_interest', 'establishment']",23.3252316,120.4808585,4.5,2919.0
